EmployeeNumber,Department,JobRole,OverTime,BusinessTravel,MonthlyIncome,YearsAtCompany,JobSatisfaction,EnvironmentSatisfaction,WorkLifeBalance,Attrition,attrition_flag,attrition_probability,risk_decile,risk_band,intervention_priority,risk_explanation
960,Research & Development,Laboratory Technician,No,Travel_Rarely,2973,1,1,1,3,Yes,1,0.9846675571791428,1,Critical,Priority 1 - executive review,Low job satisfaction; Low environment satisfaction; Early tenure; No stock option
55,Research & Development,Laboratory Technician,No,Travel_Rarely,2293,1,3,1,2,Yes,1,0.9837650175773416,1,Critical,Priority 1 - executive review,Low environment satisfaction; Low work-life balance; Early tenure; No stock option
1862,Sales,Sales Executive,Yes,Travel_Rarely,9907,2,2,3,2,Yes,1,0.9835907814627908,1,Critical,Priority 1 - executive review,Works overtime; Low job satisfaction; Low work-life balance; Early tenure; No stock option
514,Research & Development,Research Scientist,Yes,Travel_Frequently,2285,1,4,3,3,Yes,1,0.9831859802200791,1,Critical,Priority 1 - executive review,Works overtime; Frequent business travel; Early tenure; No stock option
1868,Research & Development,Research Scientist,Yes,Travel_Frequently,2439,1,4,4,2,Yes,1,0.9817903582248455,1,Critical,Priority 1 - executive review,Works overtime; Frequent business travel; Low work-life balance; Early tenure; No stock option
1844,Human Resources,Human Resources,Yes,Travel_Rarely,2335,2,1,1,3,Yes,1,0.981530079014637,1,Critical,Priority 1 - executive review,Works overtime; Low job satisfaction; Low environment satisfaction; Early tenure
19,Research & Development,Laboratory Technician,Yes,Travel_Rarely,2028,4,3,3,3,Yes,1,0.9806440133777886,1,Critical,Priority 1 - executive review,Works overtime; No stock option
1716,Sales,Sales Executive,No,Travel_Frequently,12936,23,3,3,1,Yes,1,0.9806322319810669,1,Critical,Priority 1 - executive review,Frequent business travel; Low work-life balance; Long promotion gap; No stock option
1928,Sales,Sales Representative,No,Travel_Frequently,1091,1,1,3,3,Yes,1,0.9798358490062866,1,Critical,Priority 1 - executive review,Frequent business travel; Low job satisfaction; Early tenure; No stock option
1016,Research & Development,Research Scientist,Yes,Travel_Rarely,2600,1,1,4,3,Yes,1,0.9783897987043221,1,Critical,Priority 1 - executive review,Works overtime; Low job satisfaction; Early tenure; No stock option
1944,Human Resources,Human Resources,No,Travel_Frequently,2863,1,2,1,3,Yes,1,0.9781054586436808,1,Critical,Priority 1 - executive review,Frequent business travel; Low job satisfaction; Low environment satisfaction; Early tenure; No stock option
1372,Sales,Sales Executive,Yes,Travel_Rarely,13695,19,3,1,2,Yes,1,0.9755138813355361,1,Critical,Priority 1 - executive review,Works overtime; Low environment satisfaction; Low work-life balance; No stock option
2023,Sales,Sales Representative,No,Travel_Frequently,1790,1,1,4,2,Yes,1,0.9753374293504492,1,Critical,Priority 1 - executive review,Frequent business travel; Low job satisfaction; Low work-life balance; Early tenure
1604,Research & Development,Laboratory Technician,Yes,Travel_Rarely,2408,1,2,3,3,Yes,1,0.97288189689578,1,Critical,Priority 1 - executive review,Works overtime; Low job satisfaction; Early tenure
1780,Sales,Sales Representative,No,Travel_Rarely,2679,1,2,2,3,Yes,1,0.9723780006094587,1,Critical,Priority 1 - executive review,Low job satisfaction; Low environment satisfaction; Early tenure; No stock option
2021,Sales,Sales Representative,Yes,Travel_Rarely,2380,2,1,3,3,No,0,0.9720727939980479,1,Critical,Priority 1 - executive review,Works overtime; Low job satisfaction; Early tenure; No stock option
1427,Sales,Sales Representative,No,Travel_Frequently,1359,1,3,2,3,Yes,1,0.971916446587053,1,Critical,Priority 1 - executive review,Frequent business travel; Low environment satisfaction; Early tenure; No stock option
918,Research & Development,Laboratory Technician,Yes,Travel_Frequently,2380,1,4,4,2,Yes,1,0.9699789134446347,1,Critical,Priority 1 - executive review,Works overtime; Frequent business travel; Low work-life balance; Early tenure
1079,Research & Development,Laboratory Technician,No,Travel_Rarely,1416,1,1,3,2,Yes,1,0.9686188711028879,1,Critical,Priority 1 - executive review,Low job satisfaction; Low work-life balance; Early tenure; No stock option
1319,Sales,Sales Executive,Yes,Travel_Rarely,8446,8,2,2,2,Yes,1,0.9642546950960934,1,Critical,Priority 1 - executive review,Works overtime; Low job satisfaction; Low environment satisfaction; Low work-life balance; Long promotion gap
1108,Research & Development,Research Scientist,Yes,Travel_Rarely,2313,2,2,1,3,Yes,1,0.9627363496090476,1,Critical,Priority 1 - executive review,Works overtime; Low job satisfaction; Low environment satisfaction; Early tenure; No stock option
1551,Research & Development,Laboratory Technician,No,Travel_Rarely,2296,1,1,3,3,No,0,0.962111379966037,1,Critical,Priority 1 - executive review,Low job satisfaction; Early tenure
485,Sales,Sales Representative,Yes,Travel_Rarely,2851,1,3,4,3,Yes,1,0.9618275334241084,1,Critical,Priority 1 - executive review,Works overtime; Early tenure; No stock option
47,Sales,Sales Representative,Yes,Travel_Rarely,2683,3,3,1,3,Yes,1,0.9617388487689809,1,Critical,Priority 1 - executive review,Works overtime; Low environment satisfaction; No stock option
1783,Research & Development,Laboratory Technician,Yes,Travel_Rarely,2398,1,1,3,3,Yes,1,0.9607981112519054,1,Critical,Priority 1 - executive review,Works overtime; Low job satisfaction; Early tenure; No stock option
970,Sales,Sales Executive,No,Travel_Rarely,10609,14,3,1,1,Yes,1,0.9607509231046735,1,Critical,Priority 1 - executive review,Low environment satisfaction; Low work-life balance; Long promotion gap; No stock option
64,Research & Development,Laboratory Technician,Yes,Travel_Rarely,5381,1,3,1,3,Yes,1,0.958166374239663,1,Critical,Priority 1 - executive review,Works overtime; Low environment satisfaction; Early tenure; No stock option
137,Research & Development,Laboratory Technician,Yes,Travel_Frequently,2926,1,4,4,3,Yes,1,0.9574330643655381,1,Critical,Priority 1 - executive review,Works overtime; Frequent business travel; Early tenure; No stock option
1439,Sales,Sales Representative,No,Travel_Rarely,4400,3,1,1,3,Yes,1,0.957212950957442,1,Critical,Priority 1 - executive review,Low job satisfaction; Low environment satisfaction; No stock option
811,Research & Development,Laboratory Technician,Yes,Travel_Rarely,1601,0,1,3,3,Yes,1,0.9570649498202265,1,Critical,Priority 1 - executive review,Works overtime; Low job satisfaction; Early tenure
1004,Research & Development,Research Scientist,Yes,Travel_Rarely,2132,5,3,1,3,Yes,1,0.9568753516058398,1,Critical,Priority 1 - executive review,Works overtime; Low environment satisfaction; No stock option
1279,Research & Development,Laboratory Technician,No,Travel_Frequently,2625,2,3,1,1,Yes,1,0.9552247982770058,1,Critical,Priority 1 - executive review,Frequent business travel; Low environment satisfaction; Low work-life balance; Early tenure; No stock option
648,Sales,Sales Representative,No,Travel_Frequently,2033,1,1,2,4,Yes,1,0.9549437824923153,1,Critical,Priority 1 - executive review,Frequent business travel; Low job satisfaction; Low environment satisfaction; Early tenure
1167,Sales,Sales Executive,Yes,Travel_Frequently,13758,21,1,3,2,Yes,1,0.9541897446104176,1,Critical,Priority 1 - executive review,Works overtime; Frequent business travel; Low job satisfaction; Low work-life balance; Long promotion gap
816,Research & Development,Laboratory Technician,Yes,Travel_Rarely,2319,1,1,2,3,Yes,1,0.9512803520571375,1,Critical,Priority 1 - executive review,Works overtime; Low job satisfaction; Low environment satisfaction; Early tenure
299,Sales,Sales Executive,No,Travel_Frequently,6696,6,1,3,2,Yes,1,0.9512641519648904,1,Critical,Priority 1 - executive review,Frequent business travel; Low job satisfaction; Low work-life balance; No stock option
147,Research & Development,Laboratory Technician,Yes,Travel_Frequently,6074,9,3,1,3,Yes,1,0.9505451366510355,1,Critical,Priority 1 - executive review,Works overtime; Frequent business travel; Low environment satisfaction; No stock option
1248,Research & Development,Research Scientist,Yes,Non-Travel,1859,1,2,1,4,Yes,1,0.9478181170493469,1,Critical,Priority 1 - executive review,Works overtime; Low job satisfaction; Low environment satisfaction; Early tenure; No stock option
994,Research & Development,Research Scientist,Yes,Travel_Rarely,2404,0,1,4,3,Yes,1,0.9408959057560641,1,Critical,Priority 1 - executive review,Works overtime; Low job satisfaction; Early tenure; No stock option
467,Sales,Sales Representative,No,Travel_Frequently,2976,0,3,2,3,No,0,0.9408923965507949,1,Critical,Priority 1 - executive review,Frequent business travel; Low environment satisfaction; Early tenure; No stock option
1175,Research & Development,Laboratory Technician,Yes,Travel_Rarely,2515,1,4,3,2,Yes,1,0.9399102440153237,1,Critical,Priority 1 - executive review,Works overtime; Low work-life balance; Early tenure; No stock option
1878,Research & Development,Research Scientist,Yes,Travel_Rarely,2472,1,2,4,3,Yes,1,0.9394978654318795,1,Critical,Priority 1 - executive review,Works overtime; Low job satisfaction; Early tenure; No stock option
1767,Research & Development,Research Scientist,Yes,Travel_Frequently,2437,1,3,3,3,Yes,1,0.9391473674196307,1,Critical,Priority 1 - executive review,Works overtime; Frequent business travel; Early tenure
1569,Research & Development,Laboratory Technician,Yes,Travel_Rarely,2074,1,1,1,3,Yes,1,0.9391044744424198,1,Critical,Priority 1 - executive review,Works overtime; Low job satisfaction; Low environment satisfaction; Early tenure
243,Research & Development,Laboratory Technician,No,Travel_Rarely,1102,1,4,2,2,Yes,1,0.9375713712754666,1,Critical,Priority 1 - executive review,Low environment satisfaction; Low work-life balance; Early tenure; No stock option
113,Sales,Sales Representative,No,Travel_Rarely,2322,0,1,3,3,No,0,0.9370353606630109,1,Critical,Priority 1 - executive review,Low job satisfaction; Early tenure
411,Sales,Sales Representative,No,Travel_Rarely,1200,0,3,4,3,No,0,0.9363357281325233,1,Critical,Priority 1 - executive review,Early tenure; No stock option
1331,Sales,Sales Representative,Yes,Travel_Frequently,2302,3,2,4,4,Yes,1,0.9359676646726341,1,Critical,Priority 1 - executive review,Works overtime; Frequent business travel; Low job satisfaction; No stock option
1379,Sales,Sales Representative,No,Travel_Frequently,2785,1,4,3,4,Yes,1,0.9348791486466834,1,Critical,Priority 1 - executive review,Frequent business travel; Early tenure; No stock option
785,Sales,Sales Executive,Yes,Travel_Frequently,6397,5,3,2,3,Yes,1,0.9327461328595144,1,Critical,Priority 1 - executive review,Works overtime; Frequent business travel; Low environment satisfaction; No stock option
65,Research & Development,Laboratory Technician,Yes,Travel_Rarely,3441,2,3,3,2,Yes,1,0.932624607456718,1,Critical,Priority 1 - executive review,Works overtime; Low work-life balance; Early tenure; No stock option
494,Sales,Sales Representative,No,Travel_Rarely,2716,1,2,3,3,Yes,1,0.9283833919922635,1,Critical,Priority 1 - executive review,Low job satisfaction; Early tenure; No stock option
590,Human Resources,Human Resources,Yes,Travel_Frequently,9950,3,1,2,3,Yes,1,0.9283746877727871,1,Critical,Priority 1 - executive review,Works overtime; Frequent business travel; Low job satisfaction; Low environment satisfaction
1019,Research & Development,Laboratory Technician,No,Travel_Rarely,2451,4,1,2,2,No,0,0.9229242306116434,1,Critical,Priority 1 - executive review,Low job satisfaction; Low environment satisfaction; Low work-life balance
261,Research & Development,Manufacturing Director,Yes,Travel_Rarely,5916,1,3,2,3,Yes,1,0.9215516243307106,1,Critical,Priority 1 - executive review,Works overtime; Low environment satisfaction; Early tenure; No stock option
163,Sales,Sales Executive,Yes,Travel_Rarely,6172,7,3,2,2,Yes,1,0.9189514795032135,1,Critical,Priority 1 - executive review,Works overtime; Low environment satisfaction; Low work-life balance; Long promotion gap; No stock option
566,Human Resources,Human Resources,No,Travel_Rarely,2564,1,4,1,4,Yes,1,0.9163532449658602,1,Critical,Priority 1 - executive review,Low environment satisfaction; Early tenure; No stock option
1522,Research & Development,Research Scientist,No,Travel_Rarely,2362,9,1,1,1,Yes,1,0.9157120106790304,1,Critical,Priority 1 - executive review,Low job satisfaction; Low environment satisfaction; Low work-life balance; No stock option
1645,Sales,Sales Executive,Yes,Travel_Rarely,5440,2,4,1,2,Yes,1,0.9151741445063206,1,Critical,Priority 1 - executive review,Works overtime; Low environment satisfaction; Low work-life balance; Early tenure
1961,Sales,Sales Representative,No,Travel_Rarely,2858,1,1,1,2,No,0,0.9138309309963006,1,Critical,Priority 1 - executive review,Low job satisfaction; Low environment satisfaction; Low work-life balance; Early tenure; No stock option
796,Sales,Sales Executive,No,Travel_Rarely,5326,4,1,4,2,Yes,1,0.9115852759627446,1,Critical,Priority 1 - executive review,Low job satisfaction; Low work-life balance; No stock option
1077,Sales,Sales Representative,Yes,Travel_Frequently,2323,2,4,4,3,Yes,1,0.9115756867125838,1,Critical,Priority 1 - executive review,Works overtime; Frequent business travel; Early tenure; No stock option
2010,Research & Development,Laboratory Technician,No,Travel_Rarely,2837,6,2,3,3,No,0,0.9109080853446622,1,Critical,Priority 1 - executive review,Low job satisfaction; Long promotion gap; No stock option
1533,Research & Development,Laboratory Technician,No,Travel_Rarely,2272,4,3,1,3,No,0,0.9103686162888397,1,Critical,Priority 1 - executive review,Low environment satisfaction; No stock option
1111,Research & Development,Laboratory Technician,No,Travel_Frequently,2596,1,2,1,3,Yes,1,0.9100940546455707,1,Critical,Priority 1 - executive review,Frequent business travel; Low job satisfaction; Low environment satisfaction; Early tenure
1318,Sales,Sales Executive,Yes,Travel_Rarely,9094,5,2,4,3,Yes,1,0.9097219422111125,1,Critical,Priority 1 - executive review,Works overtime; Low job satisfaction; No stock option
1198,Research & Development,Laboratory Technician,No,Travel_Rarely,3033,2,3,1,2,No,0,0.9094634852981628,1,Critical,Priority 1 - executive review,Low environment satisfaction; Low work-life balance; Early tenure; No stock option
1053,Research & Development,Research Scientist,Yes,Travel_Frequently,2042,3,1,1,3,Yes,1,0.90788179296858,1,Critical,Priority 1 - executive review,Works overtime; Frequent business travel; Low job satisfaction; Low environment satisfaction
746,Sales,Sales Executive,Yes,Travel_Frequently,13770,22,3,4,2,No,0,0.9063404697123003,1,Critical,Priority 1 - executive review,Works overtime; Frequent business travel; Low work-life balance; Long promotion gap
1649,Research & Development,Laboratory Technician,Yes,Travel_Rarely,2166,4,1,1,1,Yes,1,0.9024061696284323,1,Critical,Priority 1 - executive review,Works overtime; Low job satisfaction; Low environment satisfaction; Low work-life balance; No stock option
702,Research & Development,Research Scientist,Yes,Travel_Frequently,3348,10,1,1,3,Yes,1,0.9011855633809176,1,Critical,Priority 1 - executive review,Works overtime; Frequent business travel; Low job satisfaction; Low environment satisfaction; Long promotion gap
554,Sales,Sales Representative,Yes,Travel_Rarely,3202,5,2,1,3,Yes,1,0.9003529864127959,1,Critical,Priority 1 - executive review,Works overtime; Low job satisfaction; Low environment satisfaction; No stock option
401,Sales,Sales Executive,Yes,Travel_Rarely,5828,8,4,4,3,Yes,1,0.8993011697888468,1,Critical,Priority 1 - executive review,Works overtime; Long promotion gap; No stock option
1188,Sales,Sales Executive,No,Travel_Rarely,5346,4,3,1,2,Yes,1,0.898136825797976,1,Critical,Priority 1 - executive review,Low environment satisfaction; Low work-life balance; No stock option
1639,Sales,Sales Executive,No,Travel_Rarely,10306,13,1,4,3,Yes,1,0.8970875487459711,1,Critical,Priority 1 - executive review,Low job satisfaction; Long promotion gap; No stock option
142,Sales,Sales Executive,Yes,Travel_Rarely,5744,6,3,3,3,Yes,1,0.8966523866396321,1,Critical,Priority 1 - executive review,Works overtime; No stock option
1286,Research & Development,Laboratory Technician,Yes,Travel_Frequently,2154,4,3,4,2,No,0,0.8954529359520894,1,Critical,Priority 1 - executive review,Works overtime; Frequent business travel; Low work-life balance; No stock option
72,Sales,Sales Executive,Yes,Travel_Rarely,4157,2,4,3,2,No,0,0.8951601563816043,1,Critical,Priority 1 - executive review,Works overtime; Low work-life balance; Early tenure
10,Research & Development,Laboratory Technician,Yes,Travel_Rarely,2670,1,1,3,2,No,0,0.8948019753498918,1,Critical,Priority 1 - executive review,Works overtime; Low job satisfaction; Low work-life balance; Early tenure
33,Research & Development,Research Scientist,Yes,Travel_Frequently,3919,10,1,2,3,Yes,1,0.8944434918782576,1,Critical,Priority 1 - executive review,Works overtime; Frequent business travel; Low job satisfaction; Low environment satisfaction; Long promotion gap
1684,Research & Development,Laboratory Technician,Yes,Travel_Rarely,3989,5,3,4,3,Yes,1,0.8933996564461711,1,Critical,Priority 1 - executive review,Works overtime; No stock option
1734,Sales,Sales Executive,No,Travel_Rarely,6735,0,2,1,3,Yes,1,0.8916209576119449,1,Critical,Priority 1 - executive review,Low job satisfaction; Low environment satisfaction; Early tenure; No stock option
832,Research & Development,Laboratory Technician,No,Travel_Frequently,5094,1,3,1,3,No,0,0.8910400061028207,1,Critical,Priority 1 - executive review,Frequent business travel; Low environment satisfaction; Early tenure; No stock option
647,Research & Development,Laboratory Technician,Yes,Travel_Frequently,2886,6,3,1,3,Yes,1,0.8908666415254625,1,Critical,Priority 1 - executive review,Works overtime; Frequent business travel; Low environment satisfaction
454,Research & Development,Laboratory Technician,Yes,Travel_Rarely,2119,7,1,2,2,Yes,1,0.8906140935337178,1,Critical,Priority 1 - executive review,Works overtime; Low job satisfaction; Low environment satisfaction; Low work-life balance; No stock option
1081,Research & Development,Research Scientist,Yes,Travel_Rarely,2461,10,3,1,4,Yes,1,0.8889610625291561,1,Critical,Priority 1 - executive review,Works overtime; Low environment satisfaction
1269,Research & Development,Research Scientist,Yes,Travel_Rarely,2994,1,4,2,3,No,0,0.8884131077903191,1,Critical,Priority 1 - executive review,Works overtime; Low environment satisfaction; Early tenure; No stock option
932,Research & Development,Laboratory Technician,Yes,Travel_Rarely,2404,2,1,4,1,Yes,1,0.8875136273258806,1,Critical,Priority 1 - executive review,Works overtime; Low job satisfaction; Low work-life balance; Early tenure; No stock option
1967,Sales,Sales Executive,Yes,Travel_Frequently,5617,10,4,1,3,Yes,1,0.8873079724669507,1,Critical,Priority 1 - executive review,Works overtime; Frequent business travel; Low environment satisfaction; No stock option
1157,Sales,Sales Executive,Yes,Travel_Rarely,8224,5,1,1,3,Yes,1,0.8872842463081552,1,Critical,Priority 1 - executive review,Works overtime; Low job satisfaction; Low environment satisfaction; No stock option
896,Sales,Sales Representative,Yes,Travel_Rarely,2800,3,3,2,3,Yes,1,0.8859572453746871,1,Critical,Priority 1 - executive review,Works overtime; Low environment satisfaction
720,Sales,Sales Executive,No,Travel_Rarely,4577,2,3,1,3,Yes,1,0.8848354441538552,1,Critical,Priority 1 - executive review,Low environment satisfaction; Early tenure; No stock option
1464,Research & Development,Laboratory Technician,Yes,Travel_Frequently,3722,2,4,2,1,Yes,1,0.8844047392373614,1,Critical,Priority 1 - executive review,Works overtime; Frequent business travel; Low environment satisfaction; Low work-life balance; Early tenure
1173,Research & Development,Laboratory Technician,No,Travel_Rarely,3597,4,2,4,3,No,0,0.8842892111993116,1,Critical,Priority 1 - executive review,Low job satisfaction; No stock option
1646,Research & Development,Research Scientist,Yes,Travel_Frequently,3760,6,4,1,3,No,0,0.8816496601524034,1,Critical,Priority 1 - executive review,Works overtime; Frequent business travel; Low environment satisfaction; No stock option
1420,Research & Development,Laboratory Technician,No,Travel_Frequently,4284,4,1,1,3,Yes,1,0.8802424610599319,1,Critical,Priority 1 - executive review,Frequent business travel; Low job satisfaction; Low environment satisfaction; No stock option
833,Research & Development,Manufacturing Director,Yes,Travel_Rarely,6877,0,4,3,2,No,0,0.879650338358459,1,Critical,Priority 1 - executive review,Works overtime; Low work-life balance; Early tenure; No stock option
1539,Research & Development,Research Director,Yes,Travel_Frequently,14411,32,4,3,3,No,0,0.8778405596068266,1,Critical,Priority 1 - executive review,Works overtime; Frequent business travel; Long promotion gap; No stock option
364,Research & Development,Laboratory Technician,No,Travel_Rarely,3485,0,3,1,1,Yes,1,0.8773207788624362,1,Critical,Priority 1 - executive review,Low environment satisfaction; Low work-life balance; Early tenure; No stock option
405,Research & Development,Laboratory Technician,No,Travel_Rarely,1420,0,3,3,3,Yes,1,0.8761766534733326,1,Critical,Priority 1 - executive review,Early tenure; No stock option
1258,Research & Development,Laboratory Technician,No,Travel_Rarely,2559,1,2,4,2,No,0,0.8721135992591179,1,Critical,Priority 1 - executive review,Low job satisfaction; Low work-life balance; Early tenure; No stock option
355,Research & Development,Laboratory Technician,No,Travel_Frequently,3479,5,2,3,4,Yes,1,0.871404285035535,1,Critical,Priority 1 - executive review,Frequent business travel; Low job satisfaction; No stock option
1158,Research & Development,Laboratory Technician,Yes,Travel_Rarely,4766,1,4,2,3,No,0,0.8602893616340548,1,Critical,Priority 1 - executive review,Works overtime; Low environment satisfaction; Early tenure
587,Research & Development,Healthcare Representative,No,Travel_Frequently,9824,1,3,1,3,Yes,1,0.8602269618317828,1,Critical,Priority 1 - executive review,Frequent business travel; Low environment satisfaction; Early tenure; No stock option
1876,Sales,Sales Representative,No,Travel_Rarely,1081,1,4,2,2,Yes,1,0.8595274809144265,1,Critical,Priority 1 - executive review,Low environment satisfaction; Low work-life balance; Early tenure; No stock option
1107,Research & Development,Laboratory Technician,No,Travel_Rarely,2377,1,3,1,2,Yes,1,0.8584438178249671,1,Critical,Priority 1 - executive review,Low environment satisfaction; Low work-life balance; Early tenure
2055,Sales,Sales Executive,Yes,Travel_Rarely,10854,3,1,4,3,Yes,1,0.8583258703223071,1,Critical,Priority 1 - executive review,Works overtime; Low job satisfaction
608,Human Resources,Human Resources,Yes,Travel_Frequently,2741,7,3,2,2,Yes,1,0.8581457673361558,1,Critical,Priority 1 - executive review,Works overtime; Frequent business travel; Low environment satisfaction; Low work-life balance
1714,Human Resources,Human Resources,No,Travel_Rarely,1555,1,3,4,3,Yes,1,0.8537616394962556,1,Critical,Priority 1 - executive review,Early tenure
1752,Sales,Sales Representative,No,Travel_Rarely,2760,2,2,2,3,Yes,1,0.8516149617136717,1,Critical,Priority 1 - executive review,Low job satisfaction; Low environment satisfaction; Early tenure; No stock option
1691,Sales,Sales Representative,Yes,Travel_Frequently,2655,9,3,4,3,Yes,1,0.8513073960591416,1,Critical,Priority 1 - executive review,Works overtime; Frequent business travel; Long promotion gap
1001,Research & Development,Laboratory Technician,No,Travel_Rarely,2811,2,2,3,3,No,0,0.8508150693400811,1,Critical,Priority 1 - executive review,Low job satisfaction; Early tenure
783,Sales,Sales Representative,No,Travel_Rarely,6632,8,3,2,3,No,0,0.8506982298258913,1,Critical,Priority 1 - executive review,Low environment satisfaction; No stock option
1893,Research & Development,Research Scientist,Yes,Travel_Rarely,2933,1,3,2,2,No,0,0.8501171253587989,1,Critical,Priority 1 - executive review,Works overtime; Low environment satisfaction; Low work-life balance; Early tenure
1036,Sales,Sales Executive,Yes,Travel_Rarely,6861,1,4,2,3,No,0,0.8489245175239003,1,Critical,Priority 1 - executive review,Works overtime; Low environment satisfaction; Early tenure; No stock option
1680,Sales,Sales Representative,No,Travel_Rarely,2728,2,1,4,3,No,0,0.8487801293823353,1,Critical,Priority 1 - executive review,Low job satisfaction; Early tenure; No stock option
741,Research & Development,Research Scientist,Yes,Travel_Rarely,2216,7,2,1,3,Yes,1,0.8480901242616394,1,Critical,Priority 1 - executive review,Works overtime; Low job satisfaction; Low environment satisfaction; No stock option
1642,Human Resources,Human Resources,Yes,Travel_Frequently,5743,10,4,1,3,No,0,0.8461115321517675,1,Critical,Priority 1 - executive review,Works overtime; Frequent business travel; Low environment satisfaction; No stock option
508,Sales,Sales Representative,No,Travel_Rarely,2476,1,2,3,3,No,0,0.8451456842454368,1,Critical,Priority 1 - executive review,Low job satisfaction; Early tenure
22,Research & Development,Laboratory Technician,Yes,Non-Travel,2935,1,4,4,2,No,0,0.8436150671101071,1,Critical,Priority 1 - executive review,Works overtime; Low work-life balance; Early tenure
1939,Research & Development,Research Scientist,Yes,Travel_Frequently,2432,4,3,1,3,Yes,1,0.8431476213617015,1,Critical,Priority 1 - executive review,Works overtime; Frequent business travel; Low environment satisfaction; No stock option
175,Sales,Sales Executive,Yes,Travel_Rarely,4559,2,3,2,3,Yes,1,0.8343918663307348,1,Critical,Priority 1 - executive review,Works overtime; Low environment satisfaction; Early tenure
4,Research & Development,Laboratory Technician,Yes,Travel_Rarely,2090,0,3,4,3,Yes,1,0.8339354703172954,1,Critical,Priority 1 - executive review,Works overtime; Early tenure; No stock option
1489,Sales,Sales Executive,Yes,Travel_Rarely,4599,15,2,1,4,Yes,1,0.8322966572700724,1,Critical,Priority 1 - executive review,Works overtime; Low job satisfaction; Low environment satisfaction; Long promotion gap; No stock option
1100,Sales,Sales Executive,Yes,Travel_Rarely,9582,8,1,4,3,Yes,1,0.8320463095815536,1,Critical,Priority 1 - executive review,Works overtime; Low job satisfaction; Long promotion gap; No stock option
527,Sales,Sales Executive,Yes,Travel_Rarely,4487,5,4,2,3,No,0,0.8319060628852345,1,Critical,Priority 1 - executive review,Works overtime; Low environment satisfaction; No stock option
